path,top1,confidence
data/fer2013/test/angry/PrivateTest_10131363.jpg,5,0.315018
data/fer2013/test/angry/PrivateTest_10304478.jpg,5,0.420534
data/fer2013/test/angry/PrivateTest_1054527.jpg,5,0.561834
data/fer2013/test/angry/PrivateTest_10590091.jpg,3,0.562905
data/fer2013/test/angry/PrivateTest_1109992.jpg,0,0.705849
data/fer2013/test/angry/PrivateTest_11296953.jpg,2,0.595367
data/fer2013/test/angry/PrivateTest_12000629.jpg,0,0.554532
data/fer2013/test/angry/PrivateTest_12008383.jpg,0,0.435164
data/fer2013/test/angry/PrivateTest_12191716.jpg,5,0.427551
data/fer2013/test/angry/PrivateTest_1221822.jpg,0,0.634082
data/fer2013/test/angry/PrivateTest_12403575.jpg,1,0.333235
data/fer2013/test/angry/PrivateTest_12766285.jpg,4,0.569205
data/fer2013/test/angry/PrivateTest_12846357.jpg,0,0.443044
data/fer2013/test/angry/PrivateTest_1290484.jpg,5,0.614685
data/fer2013/test/angry/PrivateTest_12912780.jpg,4,0.447580
data/fer2013/test/angry/PrivateTest_13164119.jpg,0,0.588963
data/fer2013/test/angry/PrivateTest_13278552.jpg,0,0.556847
data/fer2013/test/angry/PrivateTest_13463625.jpg,2,0.251787
data/fer2013/test/angry/PrivateTest_13541561.jpg,5,0.570949
data/fer2013/test/angry/PrivateTest_13664224.jpg,3,0.299859
data/fer2013/test/angry/PrivateTest_14325168.jpg,3,0.416014
data/fer2013/test/angry/PrivateTest_14426977.jpg,3,0.374288
data/fer2013/test/angry/PrivateTest_14433751.jpg,0,0.341909
data/fer2013/test/angry/PrivateTest_14444117.jpg,0,0.856259
data/fer2013/test/angry/PrivateTest_14482875.jpg,5,0.366389
data/fer2013/test/angry/PrivateTest_14494003.jpg,3,0.506410
data/fer2013/test/angry/PrivateTest_14565821.jpg,5,0.394376
data/fer2013/test/angry/PrivateTest_14596578.jpg,0,0.422469
data/fer2013/test/angry/PrivateTest_14740105.jpg,0,0.293594
data/fer2013/test/angry/PrivateTest_14769246.jpg,6,0.382584
data/fer2013/test/angry/PrivateTest_1488292.jpg,3,0.490757
data/fer2013/test/angry/PrivateTest_14887556.jpg,5,0.497808
data/fer2013/test/angry/PrivateTest_15489614.jpg,5,0.492051
data/fer2013/test/angry/PrivateTest_15827448.jpg,0,0.297741
data/fer2013/test/angry/PrivateTest_15855670.jpg,5,0.396989
data/fer2013/test/angry/PrivateTest_1623042.jpg,4,0.530314
data/fer2013/test/angry/PrivateTest_16345756.jpg,2,0.318422
data/fer2013/test/angry/PrivateTest_16834914.jpg,3,0.917902
data/fer2013/test/angry/PrivateTest_17503955.jpg,3,0.416426
data/fer2013/test/angry/PrivateTest_17952984.jpg,2,0.464368
data/fer2013/test/angry/PrivateTest_1809180.jpg,5,0.266225
data/fer2013/test/angry/PrivateTest_18151590.jpg,4,0.430059
data/fer2013/test/angry/PrivateTest_18347688.jpg,0,0.436431
data/fer2013/test/angry/PrivateTest_1850005.jpg,2,0.775503
data/fer2013/test/angry/PrivateTest_1862370.jpg,2,0.636880
data/fer2013/test/angry/PrivateTest_19041965.jpg,0,0.751781
data/fer2013/test/angry/PrivateTest_19160467.jpg,5,0.455853
data/fer2013/test/angry/PrivateTest_19212977.jpg,5,0.363934
data/fer2013/test/angry/PrivateTest_19666123.jpg,3,0.497177
data/fer2013/test/angry/PrivateTest_19777137.jpg,2,0.290702
data/fer2013/test/angry/PrivateTest_19839459.jpg,5,0.384473
data/fer2013/test/angry/PrivateTest_19907331.jpg,0,0.554445
data/fer2013/test/angry/PrivateTest_20062601.jpg,2,0.629438
data/fer2013/test/angry/PrivateTest_20304950.jpg,3,0.506732
data/fer2013/test/angry/PrivateTest_20306434.jpg,0,0.556683
data/fer2013/test/angry/PrivateTest_20431702.jpg,0,0.450178
data/fer2013/test/angry/PrivateTest_20571365.jpg,6,0.336108
data/fer2013/test/angry/PrivateTest_20588149.jpg,5,0.315753
data/fer2013/test/angry/PrivateTest_20789399.jpg,5,0.514549
